FGYA1249.g1	FGYA-3.CPF_B1
FGYA1250.g1	FGYA-3.CPF_D1
FGYA1251.g1	FGYA-3.CPF_F1
FGYA1252.g1	FGYA-3.CPF_H1
FGYA1253.g1	FGYA-3.CPF_J1
FGYA1255.g1	FGYA-3.CPF_N1
FGYA1256.g1	FGYA-3.CPF_P1
FGYA1257.b1	FGYA-3.CPR_B3
FGYA1257.g1	FGYA-3.CPF_B3
FGYA1258.b1	FGYA-3.CPR_D3
FGYA1258.g1	FGYA-3.CPF_D3
FGYA1259.b1	FGYA-3.CPR_F3
FGYA1259.g1	FGYA-3.CPF_F3
FGYA1260.b1	FGYA-3.CPR_H3
FGYA1260.g1	FGYA-3.CPF_H3
FGYA1261.b1	FGYA-3.CPR_J3
FGYA1262.b1	FGYA-3.CPR_L3
FGYA1262.g1	FGYA-3.CPF_L3
FGYA1263.b1	FGYA-3.CPR_N3
FGYA1263.g1	FGYA-3.CPF_N3
FGYA1264.b1	FGYA-3.CPR_P3
FGYA1264.g1	FGYA-3.CPF_P3
FGYA1265.b1	FGYA-3.CPR_B5
FGYA1265.g1	FGYA-3.CPF_B5
FGYA1266.b1	FGYA-3.CPR_D5
FGYA1266.g1	FGYA-3.CPF_D5
FGYA1267.b1	FGYA-3.CPR_F5
FGYA1267.g1	FGYA-3.CPF_F5
FGYA1268.b1	FGYA-3.CPR_H5
FGYA1268.g1	FGYA-3.CPF_H5
FGYA1269.b1	FGYA-3.CPR_J5
FGYA1270.b1	FGYA-3.CPR_L5
FGYA1270.g1	FGYA-3.CPF_L5
FGYA1271.b1	FGYA-3.CPR_N5
FGYA1271.g1	FGYA-3.CPF_N5
FGYA1272.b1	FGYA-3.CPR_P5
FGYA1273.b1	FGYA-3.CPR_B7
FGYA1273.g1	FGYA-3.CPF_B7
FGYA1274.b1	FGYA-3.CPR_D7
FGYA1275.b1	FGYA-3.CPR_F7
FGYA1275.g1	FGYA-3.CPF_F7
FGYA1276.b1	FGYA-3.CPR_H7
FGYA1276.g1	FGYA-3.CPF_H7
FGYA1277.b1	FGYA-3.CPR_J7
FGYA1277.g1	FGYA-3.CPF_J7
FGYA1278.b1	FGYA-3.CPR_L7
FGYA1280.g1	FGYA-3.CPF_P7
FGYA1281.b1	FGYA-3.CPR_B9
FGYA1281.g1	FGYA-3.CPF_B9
FGYA1282.b1	FGYA-3.CPR_D9
FGYA1282.g1	FGYA-3.CPF_D9
FGYA1283.g1	FGYA-3.CPF_F9
FGYA1284.g1	FGYA-3.CPF_H9
FGYA1286.b1	FGYA-3.CPR_L9
FGYA1286.g1	FGYA-3.CPF_L9
FGYA1287.b1	FGYA-3.CPR_N9
FGYA1287.g1	FGYA-3.CPF_N9
FGYA1288.b1	FGYA-3.CPR_P9
FGYA1288.g1	FGYA-3.CPF_P9
FGYA1289.b1	FGYA-3.CPR_B11
FGYA1289.g1	FGYA-3.CPF_B11
FGYA1290.b1	FGYA-3.CPR_D11
FGYA1290.g1	FGYA-3.CPF_D11
FGYA1291.b1	FGYA-3.CPR_F11
FGYA1291.g1	FGYA-3.CPF_F11
FGYA1292.b1	FGYA-3.CPR_H11
FGYA1292.g1	FGYA-3.CPF_H11
FGYA1293.b1	FGYA-3.CPR_J11
FGYA1293.g1	FGYA-3.CPF_J11
FGYA1294.b1	FGYA-3.CPR_L11
FGYA1294.g1	FGYA-3.CPF_L11
FGYA1296.b1	FGYA-3.CPR_P11
FGYA1296.g1	FGYA-3.CPF_P11
FGYA1297.b1	FGYA-3.CPR_B13
FGYA1297.g1	FGYA-3.CPF_B13
FGYA1298.b1	FGYA-3.CPR_D13
FGYA1298.g1	FGYA-3.CPF_D13
FGYA1299.b1	FGYA-3.CPR_F13
FGYA1299.g1	FGYA-3.CPF_F13
FGYA1300.b1	FGYA-3.CPR_H13
FGYA1300.g1	FGYA-3.CPF_H13
FGYA1301.b1	FGYA-3.CPR_J13
FGYA1302.b1	FGYA-3.CPR_L13
FGYA1302.g1	FGYA-3.CPF_L13
FGYA1303.b1	FGYA-3.CPR_N13
FGYA1303.g1	FGYA-3.CPF_N13
FGYA1304.b1	FGYA-3.CPR_P13
FGYA1304.g1	FGYA-3.CPF_P13
FGYA1305.b1	FGYA-3.CPR_B15
FGYA1306.b1	FGYA-3.CPR_D15
FGYA1306.g1	FGYA-3.CPF_D15
FGYA1307.b1	FGYA-3.CPR_F15
FGYA1307.g1	FGYA-3.CPF_F15
FGYA1308.b1	FGYA-3.CPR_H15
FGYA1308.g1	FGYA-3.CPF_H15
FGYA1309.b1	FGYA-3.CPR_J15
FGYA1309.g1	FGYA-3.CPF_J15
FGYA1310.b1	FGYA-3.CPR_L15
FGYA1310.g1	FGYA-3.CPF_L15
FGYA1311.b1	FGYA-3.CPR_N15
FGYA1311.g1	FGYA-3.CPF_N15
FGYA1312.b1	FGYA-3.CPR_P15
FGYA1312.g1	FGYA-3.CPF_P15
FGYA1313.b1	FGYA-3.CPR_B17
FGYA1313.g1	FGYA-3.CPF_B17
FGYA1314.b1	FGYA-3.CPR_D17
FGYA1314.g1	FGYA-3.CPF_D17
FGYA1315.b1	FGYA-3.CPR_F17
FGYA1315.g1	FGYA-3.CPF_F17
FGYA1316.b1	FGYA-3.CPR_H17
FGYA1316.g1	FGYA-3.CPF_H17
FGYA1317.b1	FGYA-3.CPR_J17
FGYA1317.g1	FGYA-3.CPF_J17
FGYA1318.b1	FGYA-3.CPR_L17
FGYA1318.g1	FGYA-3.CPF_L17
FGYA1319.b1	FGYA-3.CPR_N17
FGYA1319.g1	FGYA-3.CPF_N17
FGYA1320.b1	FGYA-3.CPR_P17
FGYA1320.g1	FGYA-3.CPF_P17
FGYA1321.b1	FGYA-3.CPR_B19
FGYA1321.g1	FGYA-3.CPF_B19
FGYA1322.b1	FGYA-3.CPR_D19
FGYA1322.g1	FGYA-3.CPF_D19
FGYA1323.b1	FGYA-3.CPR_F19
FGYA1323.g1	FGYA-3.CPF_F19
FGYA1324.b1	FGYA-3.CPR_H19
FGYA1324.g1	FGYA-3.CPF_H19
FGYA1326.b1	FGYA-3.CPR_L19
FGYA1326.g1	FGYA-3.CPF_L19
FGYA1327.b1	FGYA-3.CPR_N19
FGYA1327.g1	FGYA-3.CPF_N19
FGYA1328.b1	FGYA-3.CPR_P19
FGYA1328.g1	FGYA-3.CPF_P19
FGYA1329.b1	FGYA-3.CPR_B21
FGYA1329.g1	FGYA-3.CPF_B21
FGYA1330.b1	FGYA-3.CPR_D21
FGYA1331.b1	FGYA-3.CPR_F21
FGYA1331.g1	FGYA-3.CPF_F21
FGYA1333.b1	FGYA-3.CPR_J21
FGYA1333.g1	FGYA-3.CPF_J21
FGYA1334.b1	FGYA-3.CPR_L21
FGYA1334.g1	FGYA-3.CPF_L21
FGYA1335.b1	FGYA-3.CPR_N21
FGYA1335.g1	FGYA-3.CPF_N21
FGYA1338.b1	FGYA-3.CPR_D23
FGYA1338.g1	FGYA-3.CPF_D23
FGYA1339.b1	FGYA-3.CPR_F23
FGYA1339.g1	FGYA-3.CPF_F23
FGYA1340.b1	FGYA-3.CPR_H23
FGYA1340.g1	FGYA-3.CPF_H23
FGYA1341.g1	FGYA-3.CPF_J23
FGYA1342.b1	FGYA-3.CPR_L23
FGYA1342.g1	FGYA-3.CPF_L23
